# Created by: riboviz
# Date: 2025-10-03 22:28:55.382511
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	Cerevisiae_RPF
YCR007C	4.1
YCR008W	26.4
YCR009C	182.7
YCR010C	0.9
YCR011C	60.5
YCR012W	4991.9
YCR014C	0.1
YCR015C	13.6
YCR016W	70.1
YCR017C	52.7
YCR018C	22.4
YCR019W	13.9
YCR020C	8.6
YCR020C-A	64
YCR020W-B	64.7
YCR021C	4.9
YCR023C	12.1
YCR024C	7.3
YCR024C-A	2039.4
YCR024C-B	1051
YCR026C	20.2
YCR027C	23.4
YCR028C	22.6
YCR028C-A	504.8
YCR030C	37.5
YCR031C	2996.1
YCR032W	3.8
YCR033W	13.8
YCR034W	172.9
YCR035C	53.6
YCR036W	59.3
YCR037C	7.1
YCR038C	4.8
YCR039C	14.4
YCR040W	0.9
YCR041W	1
YCR042C	21.9
YCR043C	129.3
YCR044C	40.5
YCR045C	1.1
YCR046C	79.6
YCR047C	75.2
YCR048W	42.4
YCR050C	0
YCR051W	153.8
YCR052W	62.9
YCR053W	483.4
YCR054C	18.9
YCR057C	58.4
YCR059C	39.3
YCR060W	62.6
YCR061W	64.9
YCR063W	20.8
YCR065W	30.6
YCR066W	5.8
YCR067C	39.3
YCR068W	14.6
YCR069W	69.1
YCR071C	60.6
YCR072C	59.2
YCR073C	2
YCR073W-A	69.3
YCR075C	16.7
YCR075W-A	74.6
YCR076C	32.5
YCR077C	81.8
YCR079W	4
YCR081W	8.5
YCR082W	135.3
YCR083W	81.4
YCR084C	113.2
YCR086W	34.6
YCR087C-A	136.4
YCR088W	342.1
YCR089W	1.7
YCR090C	89.2
YCR091W	4.3
YCR092C	13.4
YCR093W	51.7
YCR094W	41.9
YCR095C	17.8
YCR095W-A	2.2
YCR098C	1.1
YCR099C	0
YCR100C	0
YCR101C	2.4
YCR102C	2
YCR104W	0.1
YCR105W	1.7
YCR106W	3.2
YCR107W	0
YCR108C	0.2
YDL001W	20.8
YDL002C	58.1
YDL003W	48.2
YDL004W	270.8
YDL005C	26.1
YDL006W	41.2
YDL007C-A	0
YDL007W	266.6
YDL008W	39.3
YDL009C	0.2
YDL010W	46.6
YDL012C	160.2
YDL013W	13.3
YDL014W	870
YDL015C	215.4
YDL017W	13
YDL018C	52.1
YDL019C	31.6
YDL020C	58.6
YDL021W	18.8
YDL022C-A	0.7
YDL022W	311.1
YDL024C	1
YDL025C	12.1
YDL027C	10.5
YDL028C	12.4
YDL029W	190.9
YDL030W	18
YDL031W	64.4
YDL033C	6.6
YDL035C	14.2
YDL036C	14.9
YDL037C	0.2
YDL039C	0.2
YDL040C	113.7
YDL042C	16.6
YDL043C	39
YDL044C	15.1
YDL045C	23.9
YDL045W-A	103.3
YDL046W	202.1
YDL047W	68.8
YDL048C	1.9
YDL049C	3.6
YDL051W	251.8
YDL052C	109.9
YDL053C	107.7
YDL054C	19.1
YDL055C	1507.9
YDL056W	16.5
YDL057W	12.6
YDL058W	39.2
YDL059C	11.8
YDL060W	61.5
YDL061C	2516.2
YDL063C	39.7
YDL064W	178.8
YDL065C	75.5
YDL066W	280.5
YDL067C	335
YDL069C	6.9
YDL070W	54.6
YDL072C	178.7
YDL073W	8.1
YDL074C	41.1
YDL075W	3070.8
YDL076C	35.3
YDL077C	10.4
YDL078C	172.1
YDL079C	0.5
YDL080C	5.3
YDL081C	2300.8
YDL082W	2128.7
YDL083C	2181.7
YDL084W	684.2
YDL085C-A	216.1
YDL085W	0.7
YDL086W	122.1
YDL087C	18.7
YDL088C	29.7
YDL089W	16.4
YDL090C	19.8
YDL091C	12.4
YDL092W	162.9
YDL093W	26.7
YDL095W	191.4
YDL097C	208.3
YDL098C	29.7
YDL099W	75.5
YDL100C	372.9
YDL101C	22.3
YDL102W	30.1
YDL103C	93.5
YDL104C	6
YDL105W	8.5
YDL106C	22.8
YDL107W	11.7
YDL108W	30.6
YDL109C	1.1
YDL110C	71
YDL111C	53.3
YDL112W	40.3
YDL113C	14.9
YDL114W	0.1
YDL115C	27.8
YDL116W	37.6
YDL117W	19.1
YDL119C	16.4
YDL120W	97.4
YDL121C	115.8
YDL122W	42.3
YDL123W	36.2
YDL124W	267
YDL125C	447.5
YDL126C	641
YDL127W	24.3
YDL128W	82.3
YDL129W	10.4
YDL130W	2524
YDL130W-A	117
YDL131W	274.8
YDL132W	53.9
YDL133C-A	6149.4
YDL133W	11.8
YDL134C	84.5
YDL135C	208
YDL136W	3308.3
YDL137W	476.4
YDL138W	3.1
YDL139C	14.8
YDL140C	124.4
YDL141W	35.1
YDL142C	16.4
YDL143W	195.9
YDL144C	47.8
YDL145C	175.9
YDL146W	8.5
YDL147W	199.9
YDL148C	67.7
YDL149W	4.4
YDL150W	48.6
YDL153C	88.4
YDL154W	0.7
YDL155W	25.9
YDL156W	15.3
YDL157C	191.4
YDL159W	14.5
YDL159W-A	10.3
YDL160C	275
YDL160C-A	52.3
YDL161W	69.5
YDL164C	28.1
YDL165W	76.6
YDL166C	105.6
YDL167C	33.8
YDL168W	161.6
YDL169C	2.6
YDL170W	7.4
YDL171C	113.8
YDL173W	88.5
YDL174C	32.6
YDL175C	25.3
YDL176W	5.5
YDL177C	14.2
YDL178W	50.5
YDL179W	29.2
YDL180W	12
YDL181W	78.1
YDL182W	292.6
YDL183C	6.1
YDL184C	6452.9
YDL185W	806.1
YDL186W	0.1
YDL188C	80.1
YDL189W	35.4
YDL190C	41.8
YDL191W	3466.7
YDL192W	835.2
YDL193W	66.3
YDL194W	2.6
YDL195W	149.3
YDL197C	4.7
YDL198C	59.6
YDL199C	4.1
YDL200C	22.5
YDL201W	107.8
YDL202W	57.9
YDL203C	13.6
YDL204W	2.7
YDL205C	68.8
YDL206W	2.8
YDL207W	19.9
YDL208W	400.2
YDL209C	12.3
YDL210W	0.8
YDL211C	4.7
YDL212W	206.6
YDL213C	126.5
YDL214C	0.2
YDL215C	26.9
YDL216C	6.8
YDL217C	49.5
YDL218W	0.4
YDL219W	119.9
YDL220C	5.4
YDL222C	0.8
YDL223C	2.5
YDL224C	31.1
YDL225W	74.1
YDL226C	186.3
YDL227C	79.8
YDL229W	2893.6
YDL230W	20.2
YDL231C	1.1
YDL232W	139.5
YDL233W	13.9
YDL234C	13.8
YDL235C	120.6
YDL236W	141.5
YDL237W	62.2
YDL238C	5.1
YDL239C	0.1
YDL240W	10
YDL241W	35
YDL243C	0.7
YDL244W	2.2
YDL245C	0.1
YDL246C	2.2
YDL247W	0.3
YDL248W	21.5
YDR001C	58.8
YDR002W	987.3
YDR003W	34.6
YDR003W-A	27.6
YDR004W	7.4
YDR005C	28.2
YDR006C	17.1
YDR007W	45
YDR009W	2.1
YDR011W	97.2
YDR012W	2862.9
YDR013W	82
YDR014W	5.8
YDR014W-A	1.8
YDR016C	63
YDR017C	23.1
YDR018C	1
YDR019C	127.7
YDR020C	22.5
YDR021W	20.3
YDR022C	18.9
YDR023W	704
YDR025W	2417.3
YDR026C	11.1
YDR027C	15.7
YDR028C	47.9
YDR030C	3.8
YDR031W	37.9
YDR032C	464.7
YDR033W	909
YDR034C	14.5
YDR034C-A	10.5
YDR034W-B	2.2
YDR035W	165.2
YDR036C	43.1
YDR037W	648
YDR038C	56.1
YDR039C	59.4
YDR040C	49.4
YDR041W	53.7
YDR042C	2.3
YDR043C	16.3
YDR044W	92.9
YDR045C	95
YDR046C	72.3
YDR047W	66.2
YDR049W	22.9
YDR050C	4268.4
YDR051C	58
YDR052C	18.8
YDR054C	102.7
YDR055W	144
YDR056C	122.3
YDR057W	23.9
YDR058C	7.1
YDR059C	24.8
YDR060W	91.8
YDR061W	23.1
YDR062W	98
YDR063W	119.7
YDR064W	3281
YDR065W	9.6
YDR066C	11.5
YDR067C	15.7
YDR068W	53.5
YDR069C	8
YDR070C	4.7
YDR071C	343.7
YDR072C	34.6
YDR073W	30.4
YDR074W	89.6
YDR075W	29.7
YDR076W	4.2
YDR077W	1091.9
YDR078C	4.6
YDR079C-A	66.8
YDR079W	49.7
YDR080W	15.1
YDR081C	16.9
YDR082W	5.1
YDR083W	64.4
YDR084C	72.3
YDR085C	3.7
YDR086C	814.9
YDR087C	114
YDR088C	22.8
YDR089W	28.8
YDR090C	20.8
YDR091C	159.4
YDR092W	189.7
YDR093W	26.6
YDR096W	10.9
YDR097C	31.7
YDR098C	248.5
YDR099W	637.4
YDR100W	118.1
YDR101C	91.5
YDR103W	15.6
YDR104C	3.5
YDR105C	26.6
YDR106W	2
YDR107C	16.3
YDR108W	11
YDR109C	8.7
YDR110W	19.4
YDR111C	13.7
YDR113C	35.2
YDR114C	0.5
YDR115W	84.8
YDR116C	46.8
YDR117C	42.3
YDR118W	9
YDR119W	70.7
YDR119W-A	7
YDR120C	76.5
YDR121W	58.4
YDR122W	24.8
YDR123C	13
YDR124W	0.6
YDR125C	2.6
YDR126W	4.6
YDR127W	121.6
YDR128W	8.8
YDR129C	292
YDR130C	20.9
YDR131C	7.7
YDR132C	7.6
YDR135C	56.5
YDR137W	13
YDR138W	16.6
YDR139C	143.6
YDR140W	36.7
YDR141C	24.8
YDR142C	10.3
YDR143C	27.7
YDR144C	70.9
YDR145W	57.2
YDR146C	41.3
YDR147W	19.3
YDR148C	123.6
YDR150W	32.9
YDR151C	42.7
YDR152W	103.4
YDR153C	62.9
YDR155C	2566
YDR156W	133.9
YDR158W	609.2
YDR159W	8.3
YDR160W	3
YDR161W	81.1
YDR162C	49
YDR163W	42.7
YDR164C	22.3
YDR165W	80.5
YDR166C	18.6
YDR167W	90.4
YDR168W	162.4
YDR169C	22.6
YDR169C-A	0.3
YDR170C	85.9
YDR171W	53.1
YDR172W	339.5
YDR173C	17.5
YDR174W	193.8
YDR175C	45.4
YDR176W	17.9
YDR177W	203.8
YDR178W	79.8
YDR179C	19.3
YDR179W-A	5.9
YDR180W	9.2
YDR181C	12.2
YDR182W	52.3
YDR182W-A	17.8
YDR183W	30.1
YDR184C	28.3
YDR185C	6.6
YDR186C	21.6
YDR188W	273
YDR189W	62.6
YDR190C	181
YDR191W	10
YDR192C	29.1
YDR194C	64.4
YDR194W-A	0.7
YDR195W	22.6
YDR196C	40
YDR197W	10
YDR198C	11.7
YDR200C	10.7
YDR201W	38.2
YDR202C	17.9
YDR204W	36.8
YDR205W	16.5
YDR206W	15.4
YDR207C	15.8
YDR208W	30.2
YDR210W	298.4
YDR211W	82.9
YDR212W	255.5
YDR213W	15.2
YDR214W	225.2
YDR216W	5.2
YDR217C	14.8
YDR218C	0.4
YDR219C	21.3
YDR221W	31.4
YDR222W	22.2
YDR223W	0.8
YDR224C	1119.9
YDR225W	1351.4
YDR226W	1256.2
YDR227W	9.6
YDR228C	19.7
YDR229W	25.6
YDR231C	34.2
YDR232W	107.5
YDR233C	421.1
YDR234W	56
YDR235W	13.3
YDR236C	22.6
YDR237W	42.8
YDR238C	167.3
YDR239C	15.8
YDR240C	17.5
YDR242W	1.4
YDR243C	14.7
YDR244W	23.9
YDR245W	85.9
YDR246W	35
YDR246W-A	8.2
YDR247W	10.4
YDR248C	41.8
YDR249C	5.4
YDR251W	29.7
YDR252W	23.2
YDR253C	5.9
YDR254W	8.6
YDR255C	8.7
YDR256C	0.1
YDR257C	27.4
YDR258C	68.9
YDR259C	2.8
YDR260C	34.2
YDR261C	46.6
YDR262W	47.6
YDR263C	1.1
YDR264C	73.9
YDR265W	9.4
YDR266C	44.3
YDR267C	37.2
YDR268W	19
YDR270W	18.8
YDR272W	140.9
YDR273W	2.4
YDR275W	3.8
YDR276C	663.1
YDR277C	7.5
YDR279W	21.5
YDR280W	71.5
YDR281C	56.7
YDR282C	10.5
YDR283C	12.1
YDR284C	58.2
YDR285W	1.6
YDR286C	36.8
YDR287W	30.4
YDR288W	15.9
YDR289C	37.9
YDR291W	8
YDR292C	52.7
YDR293C	59.7
YDR294C	54.7
YDR295C	19.1
YDR296W	66.3
YDR297W	98.7
YDR298C	181.7
YDR299W	66.7
YDR300C	92.3
YDR301W	17.8
YDR302W	51.3
YDR303C	29.5
YDR304C	385.6
YDR305C	47.4
YDR306C	12.6
YDR307W	27.1
YDR308C	69.6
YDR309C	83.7
YDR310C	20.6
YDR311W	23.7
YDR312W	50
YDR313C	11.2
YDR314C	3.2
YDR315C	4.9
YDR316W	12.9
YDR317W	4.5
YDR318W	8.5
YDR319C	18
YDR320C	31.8
YDR320C-A	90.4
YDR321W	281.3
YDR322C-A	142.7
YDR322W	40.2
YDR323C	8.5
YDR324C	61.3
YDR325W	13.6
YDR326C	21.1
YDR328C	256
YDR329C	27.9
YDR330W	28.2
YDR331W	49.7
YDR332W	5
YDR333C	29
YDR334W	8.7
YDR335W	37.6
YDR336W	7.2
YDR337W	55.5
YDR338C	8.2
YDR339C	96.1
YDR341C	330.7
YDR342C	82.1
YDR343C	79.4
YDR345C	349.8
YDR346C	164.8
YDR347W	48.7
YDR348C	53.8
YDR349C	25.4
YDR350C	3.9
YDR351W	18.9
YDR352W	32.7
YDR353W	616.9
YDR354W	52.9
YDR356W	23.5
YDR357C	42.6
YDR358W	26.7
YDR359C	10.5
YDR361C	121.9
YDR362C	12.9
YDR363W	12
YDR363W-A	366.6
YDR364C	12.7
YDR365C	74
YDR366C	6.5
YDR367W	49.3
YDR368W	207.3
YDR369C	6.9
YDR370C	11.8
YDR371W	13.6
YDR372C	97.1
YDR373W	93.4
YDR374C	0.4
YDR374W-A	48.9
YDR375C	14.9
YDR376W	24
YDR377W	211.3
YDR378C	203.2
YDR379C-A	29.8
YDR379W	9.8
YDR380W	26.2
YDR381C-A	27.8
YDR381W	700.6
YDR382W	2855.3
YDR383C	13.7
YDR384C	182.8
YDR385W	2827
YDR386W	6.4
YDR387C	6.1
YDR388W	174.3
YDR389W	24.5
YDR390C	35
YDR391C	25.4
YDR392W	27.1
YDR393W	10.6
YDR394W	169.5
YDR395W	105.7
YDR397C	110.8
YDR398W	64.6
YDR399W	318.6
YDR400W	44
YDR402C	0.1
YDR403W	1.2
YDR404C	102.2
YDR405W	40.3
YDR406W	8.3
YDR407C	11.8
YDR408C	124.3
YDR409W	9.3
YDR410C	33.9
YDR411C	41.4
YDR412W	98.4
YDR414C	15.7
YDR415C	39.4
YDR416W	12.4
YDR418W	2615.1
YDR419W	8.8
YDR420W	4.2
YDR421W	6.7
YDR422C	19.9
YDR423C	41.9
YDR424C	182.1
YDR425W	11.9
YDR427W	121.1
YDR428C	35
YDR429C	413.4
YDR430C	40.6
YDR432W	622.2
YDR434W	53.6
YDR435C	21.2
YDR436W	10.4
YDR437W	14.1
YDR438W	0.3
YDR439W	10
YDR440W	13.6
YDR441C	45.1
YDR443C	6.8
YDR444W	8.2
YDR446W	0.4
YDR447C	2284.1
YDR448W	28
YDR449C	54.6
YDR450W	2770.2
YDR451C	57.2
YDR452W	50.2
YDR453C	22.9
YDR454C	516.6
YDR456W	26.4
YDR457W	33
YDR458C	22
YDR459C	4.2
YDR460W	27.6
YDR461C-A	82
YDR461W	772.8
YDR462W	88
YDR463W	59
YDR464W	14.4
YDR465C	61.5
YDR466W	12.1
YDR468C	74.6
YDR469W	40.5
YDR470C	18.5
YDR471W	1476.3
YDR472W	38.8
YDR473C	13
YDR475C	7.6
YDR476C	64.2
YDR477W	63.3
YDR478W	16.3
YDR479C	11.6
YDR480W	19.9
YDR481C	183.7
YDR482C	82.3
YDR483W	169.1
YDR484W	13.2
YDR485C	14.5
YDR486C	64.2
YDR487C	213.9
YDR488C	14.8
YDR489W	16.1
YDR490C	17.3
YDR492W	43.3
YDR493W	61.5
YDR494W	38
YDR495C	9.3
YDR496C	109.1
YDR497C	101.4
YDR498C	18.9
YDR499W	6.2
YDR500C	2359.1
YDR501W	8.6
YDR502C	424.6
YDR503C	17
YDR504C	12.3
YDR505C	28
YDR506C	37.4
YDR507C	48.5
YDR508C	173.1
YDR510W	845.9
YDR511W	56.7
YDR512C	77.4
YDR513W	261.1
YDR514C	20.6
