ORF,elp1D_1
YBL087C,2294.6
YBL088C,1.2
YBL089W,9.8
YBL090W,33.1
YBL091C,100.5
YBL091C-A,24.6
YBL092W,4389.5
YBL093C,33.4
YBL095W,4.4
YBL097W,10.4
YBL098W,29
YBL099W,228.8
YBL100W-C,0
YBL101C,11.4
YBL102W,72.6
YBL103C,10.9
YBL104C,8.9
YBL105C,16.2
YBL106C,5.6
YBL107C,19.2
YBL108C-A,0
YBL111C,0.2
YBL112C,0.4
YBL113C,0.1
YBR001C,12.4
YBR002C,22.3
YBR003W,16.5
YBR004C,16.6
YBR005W,13.6
YBR006W,7.7
YBR007C,8.1
YBR008C,0.9
YBR009C,1299.6
YBR010W,1300.4
YBR011C,1249.4
YBR013C,24.8
YBR014C,51.9
YBR015C,61.9
YBR016W,115.9
YBR017C,50.4
YBR018C,0.1
YBR019C,0.1
YBR020W,0
YBR021W,3.9
YBR022W,30.9
YBR023C,26.4
YBR024W,9.5
YBR025C,644
YBR026C,69
YBR028C,19.3
YBR029C,41
YBR030W,55
YBR031W,3085.3
YBR033W,0.1
YBR034C,82.6
YBR035C,112.5
YBR036C,75.6
YBR037C,28.6
YBR038W,39
YBR039W,148.9
YBR040W,0.5
YBR041W,29.4
YBR042C,26.4
YBR043C,4.9
YBR044C,4.2
YBR045C,0.6
YBR046C,26.8
YBR047W,11.6
YBR048W,2140.1
YBR049C,36
YBR050C,0.3
YBR052C,98.5
YBR053C,18.8
YBR054W,6.9
YBR055C,9
YBR056W,142.4
YBR056W-A,10.9
YBR057C,16.6
YBR058C,29.6
YBR058C-A,183.8
YBR059C,24.1
YBR060C,8.6
YBR061C,33.8
YBR062C,16.5
YBR063C,0
YBR065C,9.5
YBR066C,15.9
YBR067C,308.2
YBR068C,142.6
YBR069C,114.2
YBR070C,15.9
YBR071W,40.5
YBR072C-A,0.8
YBR072W,19.8
YBR073W,23.2
YBR074W,24.3
YBR076W,0.1
YBR077C,48.7
YBR078W,1092.2
YBR079C,148.3
YBR080C,66.8
YBR081C,11.3
YBR082C,524.7
YBR083W,19.8
YBR084C-A,2499.2
YBR084W,99.3
YBR085C-A,103.8
YBR085W,11.6
YBR086C,56.4
YBR087W,36.5
YBR088C,127.6
YBR089C-A,95.4
YBR090C,96.8
YBR091C,46.8
YBR092C,106.7
YBR093C,53.8
YBR094W,25.5
YBR095C,18.4
YBR096W,86.4
YBR097W,4.3
YBR098W,3.8
YBR101C,105.3
YBR102C,16.1
YBR103W,18.9
YBR104W,26.9
YBR105C,9.9
YBR106W,674.1
YBR107C,3.6
YBR108W,6.3
YBR109C,337
YBR110W,27.6
YBR111C,109.2
YBR111W-A,33
YBR112C,30.4
YBR114W,4.3
YBR115C,133.6
YBR117C,0.2
YBR118W,18763.6
YBR119W,7.8
YBR120C,16.9
YBR121C,368.4
YBR122C,54.2
YBR123C,13.1
YBR125C,21.8
YBR126C,108.1
YBR126W-A,228.7
YBR127C,613.5
YBR128C,1.9
YBR129C,11.7
YBR130C,35.1
YBR131W,5.8
YBR132C,13.3
YBR133C,12
YBR135W,52.2
YBR136W,2.5
YBR137W,54.5
YBR138C,7.3
YBR139W,38.8
YBR140C,7.5
YBR141C,11.4
YBR142W,37.1
YBR143C,292.9
YBR145W,20.5
YBR146W,30.6
YBR147W,1.2
YBR148W,0.7
YBR149W,111.3
YBR150C,3.5
YBR151W,36.7
YBR152W,9.1
YBR153W,10.8
YBR154C,160.3
YBR155W,43.3
YBR156C,6.5
YBR157C,10.2
YBR158W,39.8
YBR159W,98.7
YBR160W,33
YBR161W,9.3
YBR162C,335.6
YBR162W-A,309.8
YBR163W,4.9
YBR164C,138.1
YBR165W,15
YBR166C,34.7
YBR167C,13.2
YBR168W,4.2
YBR169C,8.7
YBR170C,33.4
YBR171W,76.9
YBR172C,24
YBR173C,114
YBR175W,22.2
YBR176W,21.5
YBR177C,72.4
YBR179C,10.6
YBR180W,0.3
YBR181C,3990.8
YBR182C,1.7
YBR182C-A,0.7
YBR183W,5.7
YBR184W,1.4
YBR185C,18.4
YBR186W,1.6
YBR187W,128.5
YBR188C,22.3
YBR189W,3468.6
YBR191W,2865.1
YBR192W,12.7
YBR193C,16.8
YBR194W,14.1
YBR195C,16.6
YBR196C,1518.6
YBR196C-A,1106.6
YBR196C-B,0
YBR197C,12.9
YBR198C,32.2
YBR199W,65.7
YBR200W,17.9
YBR200W-A,0
YBR201C-A,4.4
YBR201W,14.7
YBR202W,24.4
YBR203W,0.7
YBR204C,11.6
YBR205W,85.2
YBR207W,23.9
YBR208C,19.8
YBR210W,28.1
YBR211C,11.5
YBR212W,25.9
YBR213W,9.7
YBR214W,14.4
YBR215W,13.9
YBR216C,11.5
YBR217W,4.2
YBR218C,114.8
YBR219C,14.4
YBR220C,17.3
YBR221C,327.8
YBR221W-A,0
YBR222C,53.7
YBR223C,2.4
YBR225W,7.5
YBR227C,21
YBR228W,5.3
YBR229C,28.4
YBR230C,67.9
YBR230W-A,22.5
YBR231C,17.8
YBR233W,14.1
YBR233W-A,30.2
YBR234C,97.6
YBR235W,7
YBR236C,22
YBR237W,5.2
YBR238C,15.8
YBR239C,3.4
YBR240C,1.1
YBR241C,9.6
YBR242W,36.4
YBR243C,29.9
YBR244W,109.8
YBR245C,34.8
YBR246W,21.4
YBR247C,67.1
YBR248C,73.3
YBR249C,406
YBR250W,0.3
YBR251W,32.1
YBR252W,136.4
YBR253W,27.4
YBR254C,34.6
YBR255C-A,21.7
YBR255W,5.5
YBR256C,67.3
YBR257W,11.5
YBR258C,12
YBR259W,1.7
YBR260C,18.8
YBR261C,57.4
YBR262C,38.9
YBR263W,202.7
YBR264C,18.7
YBR265W,40.2
YBR267W,43.6
YBR268W,56.2
YBR269C,45.6
YBR270C,2.9
YBR271W,23.4
YBR272C,13
YBR273C,23.8
YBR274W,8.4
YBR275C,6.2
YBR276C,3.5
YBR278W,16.6
YBR279W,45
YBR280C,5.8
YBR281C,15.8
YBR282W,44
YBR283C,180.4
YBR284W,0.5
YBR285W,1.3
YBR286W,464
YBR287W,32
YBR288C,35.6
YBR289W,10.4
YBR290W,22.9
YBR291C,24.5
YBR293W,2.5
YBR294W,0.3
YBR295W,1.8
YBR296C,17.1
YBR296C-A,0
YBR297W,5.4
YBR298C,0
YBR298C-A,1.2
YBR299W,0.4
YBR301W,0
YBR302C,33.1
YCL001W,108.6
YCL001W-A,0
YCL001W-B,0
YCL002C,7
YCL004W,2.9
YCL005W,8
YCL005W-A,340.1
YCL008C,57
YCL009C,395.1
YCL010C,22.9
YCL011C,88.9
YCL012C,20.1
YCL014W,14.5
YCL016C,10.8
YCL017C,95.1
YCL018W,0.1
YCL021W-A,18
YCL024W,6.2
YCL025C,22.7
YCL026C-A,1.8
YCL026C-B,7.6
YCL027W,6.1
YCL028W,87.5
YCL029C,11.3
YCL030C,217.2
YCL031C,65.3
YCL032W,10.7
YCL033C,37.1
YCL034W,43.4
YCL035C,191.8
YCL036W,9.6
YCL037C,198.9
YCL038C,11.7
YCL039W,7.7
YCL040W,91.9
YCL042W,78.2
YCL043C,709.3
YCL044C,25.7
YCL045C,95.9
YCL047C,23.9
YCL048W,0.2
YCL048W-A,0
YCL049C,23.2
YCL050C,286.2
YCL051W,6.8
YCL052C,14.2
YCL054W,51.8
YCL054W-A,30.9
YCL055W,23.4
YCL056C,6.6
YCL057C-A,105.9
YCL057W,90.8
YCL058C,71.4
YCL058W-A,25.4
YCL059C,90.2
YCL061C,8.1
YCL063W,15.9
YCL064C,167.4
YCL068C,1.3
YCL069W,0
YCL073C,0.3
YCR002C,93.7
YCR003W,30
YCR004C,220.9
YCR005C,52.7
YCR007C,2.7
YCR008W,16.5
YCR009C,92.5
YCR010C,0.7
YCR011C,36.9
YCR012W,6334.6
YCR014C,0.3
YCR015C,8.3
YCR016W,38.1
YCR017C,36.8
YCR018C,7.8
YCR019W,8.9
YCR020C,5.7
YCR020C-A,40
YCR020W-B,43.7
YCR021C,2
YCR023C,9.8
YCR024C,2.3
YCR024C-A,1487.3
YCR024C-B,728.7
YCR026C,16.5
YCR027C,20.7
YCR028C,17
YCR028C-A,295.2
YCR030C,23.4
YCR031C,3359.5
YCR032W,2.5
YCR033W,8.9
YCR034W,163.3
YCR035C,33.6
YCR036W,36.6
YCR037C,6.9
YCR038C,1.9
YCR039C,8.2
YCR040W,0.6
YCR041W,0.8
YCR042C,12.3
YCR043C,91.2
YCR044C,32.9
YCR045C,2.7
YCR046C,48
YCR047C,50
YCR048W,31.1
YCR050C,0
YCR051W,81.6
YCR052W,39.5
YCR053W,413.3
YCR054C,11
YCR057C,53.2
YCR059C,36.5
YCR060W,49.9
YCR061W,34
YCR063W,14
YCR065W,23.9
YCR066W,4.8
YCR067C,29.5
YCR068W,6.8
YCR069W,58.2
YCR071C,38.5
YCR072C,44.2
YCR073C,2.2
YCR073W-A,53.9
YCR075C,11.1
YCR075W-A,26
YCR076C,17.5
YCR077C,51.6
YCR079W,3.4
YCR081W,6.3
YCR082W,94.6
YCR083W,52.1
YCR084C,80.1
YCR086W,24.9
YCR087C-A,131.6
YCR088W,199.7
YCR089W,0.8
YCR090C,53.4
YCR091W,1.8
YCR092C,6.8
YCR093W,29.6
YCR094W,28.4
YCR095C,16.7
YCR095W-A,1.5
YCR098C,1.1
YCR099C,0
YCR100C,0
YCR101C,2.9
YCR102C,0.8
YCR104W,0.4
YCR105W,0.7
YCR106W,2.5
YCR107W,0
YCR108C,0
YDL001W,11.9
YDL002C,27.8
YDL003W,36
YDL004W,118.9
YDL005C,21.1
YDL006W,24.9
YDL007C-A,0
YDL007W,451.5
YDL008W,29.5
YDL009C,0
YDL010W,26.1
YDL012C,54.9
YDL013W,8.1
YDL014W,570.6
YDL015C,172.9
YDL017W,8.8
YDL018C,25
YDL019C,18.7
YDL020C,36.7
YDL021W,4.7
YDL022C-A,0
YDL022W,143.8
YDL024C,0.4
YDL025C,7.2
YDL027C,5.1
YDL028C,9.1
YDL029W,135.4
YDL030W,13.4
YDL031W,41.8
YDL033C,3.4
YDL035C,6.8
YDL036C,11.2
YDL037C,0.2
YDL039C,0.5
YDL040C,75.1
YDL042C,10.1
YDL043C,19.3
YDL044C,7.4
YDL045C,15
YDL045W-A,56.5
YDL046W,154.4
YDL047W,50.2
YDL048C,1.2
YDL049C,2.4
YDL051W,168.8
YDL052C,56.6
YDL053C,42.6
YDL054C,14.7
YDL055C,1324.2
YDL056W,7.4
YDL057W,6
YDL058W,23.9
YDL059C,5.8
YDL060W,54.8
YDL061C,2166.4
YDL063C,31.7
YDL064W,95.6
YDL065C,38.3
YDL066W,289.6
YDL067C,194.9
YDL069C,3.5
YDL070W,50.2
YDL072C,151.4
YDL073W,7.5
YDL074C,22.3
YDL075W,2934.9
YDL076C,20.7
YDL077C,8.5
YDL078C,109.7
YDL079C,0.2
YDL080C,4.7
YDL081C,2891.8
YDL082W,2024
YDL083C,2106.1
YDL084W,440.8
YDL085C-A,66.4
YDL085W,0.3
YDL086W,89.5
YDL087C,12.8
YDL088C,19.8
YDL089W,9.1
YDL090C,13.5
YDL091C,6.4
YDL092W,80.9
YDL093W,16.6
YDL095W,127.4
YDL097C,205
YDL098C,14.4
YDL099W,35.9
YDL100C,243.5
YDL101C,13.3
YDL102W,19.1
YDL103C,51.9
YDL104C,3.4
YDL105W,5.3
YDL106C,14.2
YDL107W,8.2
YDL108W,19.9
YDL109C,0.7
YDL110C,26.1
YDL111C,41.8
YDL112W,32.3
YDL113C,7.5
YDL114W,0
YDL115C,14.9
YDL116W,26.1
YDL117W,13.7
YDL119C,7.2
YDL120W,77.3
YDL121C,88.7
YDL122W,27.5
YDL123W,41.6
YDL124W,90.2
YDL125C,284.5
YDL126C,514.2
YDL127W,12.9
YDL128W,54.9
YDL129W,5.9
YDL130W,3039.3
YDL130W-A,34.6
YDL131W,477.8
YDL132W,42.5
YDL133C-A,10676.3
YDL133W,6.7
YDL134C,64.8
YDL135C,94.8
YDL136W,3560.4
YDL137W,311.5
YDL138W,1.4
YDL139C,8.6
YDL140C,96.5
YDL141W,21.1
YDL142C,13.8
YDL143W,203.6
YDL144C,30.6
YDL145C,144.1
YDL146W,5.4
YDL147W,107
YDL148C,54
YDL149W,2.2
YDL150W,26.1
YDL153C,53.2
YDL154W,0.1
YDL155W,14.7
YDL156W,8.6
YDL157C,166.6
YDL159W,10.5
YDL159W-A,9.8
YDL160C,169.8
YDL160C-A,41.7
YDL161W,29.3
YDL164C,22.1
YDL165W,57.5
YDL166C,65.5
YDL167C,24.3
YDL168W,106.7
YDL169C,1.8
YDL170W,9.3
YDL171C,93.6
YDL173W,54.8
YDL174C,21.4
YDL175C,14.1
YDL176W,3.5
YDL177C,6.3
YDL178W,33.4
YDL179W,18.5
YDL180W,9.2
YDL181W,18.3
YDL182W,610.2
YDL183C,3.9
YDL184C,10509.5
YDL185W,543.5
YDL186W,0.2
YDL188C,54
YDL189W,23
YDL190C,29.5
YDL191W,3826.6
YDL192W,950.4
YDL193W,29.5
YDL194W,1.8
YDL195W,151.7
YDL197C,4.2
YDL198C,113.4
YDL199C,1.6
YDL200C,12.7
YDL201W,45.6
YDL202W,32.1
YDL203C,9.3
YDL204W,0.3
YDL205C,37.3
YDL206W,1.2
YDL207W,10.8
YDL208W,286.6
YDL209C,11.6
YDL210W,0.4
YDL211C,2.7
YDL212W,154
YDL213C,56.8
YDL214C,0.1
YDL215C,14.2
YDL216C,4.4
YDL217C,47.9
YDL218W,0.3
YDL219W,84
YDL220C,4.7
YDL222C,0
YDL223C,1.2
YDL224C,24.9
YDL225W,36.4
YDL226C,136.2
YDL227C,32
YDL229W,3234.5
YDL230W,14.6
YDL231C,1.2
YDL232W,143
YDL233W,11.4
YDL234C,9.5
YDL235C,67.3
YDL236W,110.7
YDL237W,44.2
YDL238C,3.6
YDL239C,0.1
YDL240W,6.4
YDL241W,20.9
YDL243C,0.3
YDL244W,1.9
YDL245C,0
YDL246C,1.7
YDL247W,0
YDL248W,23.9
YDR001C,27.5
YDR002W,579.5
YDR003W,22
YDR003W-A,17.8
YDR004W,5
YDR005C,16.1
YDR006C,10.9
YDR007W,40.8
YDR009W,0.5
YDR011W,51.4
YDR012W,2843.3
YDR013W,40.1
YDR014W,5.2
YDR014W-A,0.3
YDR016C,30.7
YDR017C,13.2
YDR018C,0.1
YDR019C,110.4
YDR020C,13.9
YDR021W,18.6
YDR022C,52.9
YDR023W,433.7
YDR025W,2222.1
YDR026C,9.5
YDR027C,10.2
YDR028C,28.3
YDR030C,2.9
YDR031W,15
YDR032C,265.4
YDR033W,248.3
YDR034C,9.3
YDR034C-A,9.2
YDR034W-B,3.1
YDR035W,203.2
YDR036C,28.1
YDR037W,639.9
YDR038C,38.2
YDR039C,37.1
YDR040C,30.6
YDR041W,38.4
YDR042C,1
YDR043C,7.9
YDR044W,66.5
YDR045C,87.1
YDR046C,53.8
YDR047W,36.1
YDR049W,15.5
YDR050C,5078.4
YDR051C,24.8
YDR052C,11.8
YDR054C,60.9
YDR055W,84.7
YDR056C,114.4
YDR057W,16
YDR058C,5.3
YDR059C,16.7
YDR060W,65.4
YDR061W,13.6
YDR062W,80.3
YDR063W,51.5
YDR064W,3814.4
YDR065W,6.8
YDR066C,9
YDR067C,14.1
YDR068W,27.4
YDR069C,5.6
YDR070C,4.8
YDR071C,247
YDR072C,32
YDR073W,18.3
YDR074W,35.9
YDR075W,18.8
YDR076W,4.9
YDR077W,1047.9
YDR078C,2.7
YDR079C-A,38.3
YDR079W,30.3
YDR080W,8.7
YDR081C,13.3
YDR082W,2.6
YDR083W,55.8
YDR084C,55.8
YDR085C,1.7
YDR086C,415.9
YDR087C,95.2
YDR088C,17.2
YDR089W,14.2
YDR090C,20
YDR091C,119.1
YDR092W,120.4
YDR093W,9.9
YDR096W,6
YDR097C,23.6
YDR098C,122.5
YDR099W,359.4
YDR100W,89.4
YDR101C,79.7
YDR103W,13
YDR104C,2.7
YDR105C,24.7
YDR106W,0.9
YDR107C,16.7
YDR108W,9.6
YDR109C,6.5
YDR110W,15.7
YDR111C,9.3
YDR113C,17.2
YDR114C,0
YDR115W,60.2
YDR116C,25.1
YDR117C,23.8
YDR118W,5.9
YDR119W,55.8
YDR119W-A,1.9
YDR120C,70.3
YDR121W,44.1
YDR122W,12.7
YDR123C,9.1
YDR124W,0
YDR125C,1.4
YDR126W,3.8
YDR127W,112.8
YDR128W,8.9
YDR129C,225.9
YDR130C,11.2
YDR131C,5.6
YDR132C,5
YDR135C,43.5
YDR137W,11.6
YDR138W,13
YDR139C,95.1
YDR140W,24.1
YDR141C,15
YDR142C,7.6
YDR143C,14
YDR144C,47.9
YDR145W,24.5
YDR146C,22
YDR147W,12.6
YDR148C,70.4
YDR150W,17.6
YDR151C,25
YDR152W,52.3
YDR153C,27.5
YDR155C,2869.5
YDR156W,103.5
YDR158W,728.2
YDR159W,6.6
YDR160W,1.3
YDR161W,68.1
YDR162C,24.8
YDR163W,17.7
YDR164C,16.3
YDR165W,64.7
YDR166C,11.7
YDR167W,51.7
YDR168W,105.8
YDR169C,16.4
YDR169C-A,0
YDR170C,45.2
YDR171W,17.9
YDR172W,252.6
YDR173C,11.7
YDR174W,154.1
YDR175C,24.3
YDR176W,13.9
YDR177W,100.7
YDR178W,40.8
YDR179C,10.7
YDR179W-A,3.5
YDR180W,7.3
YDR181C,9
YDR182W,44.8
YDR182W-A,20.9
YDR183W,13.8
YDR184C,24.1
YDR185C,4.6
YDR186C,14
YDR188W,231.7
YDR189W,39.2
YDR190C,102.1
YDR191W,5.8
YDR192C,17.2
YDR194C,61.9
YDR194W-A,0
YDR195W,14.9
YDR196C,18.3
YDR197W,6.3
YDR198C,7.7
YDR200C,7.9
YDR201W,19.9
YDR202C,12.3
YDR204W,22.3
YDR205W,10.5
YDR206W,11.7
YDR207C,10.3
YDR208W,21.3
YDR210W,191.5
YDR211W,93
YDR212W,196
YDR213W,7.1
YDR214W,124.4
YDR216W,5.5
YDR217C,8.7
YDR218C,0.6
YDR219C,14.6
YDR221W,19.4
YDR222W,10.4
YDR223W,0.2
YDR224C,889
YDR225W,1067.5
YDR226W,860.7
YDR227W,6.1
YDR228C,11.6
YDR229W,16.1
YDR231C,18.9
YDR232W,74.9
YDR233C,296.3
YDR234W,95.1
YDR235W,9.6
YDR236C,15.4
YDR237W,28.5
YDR238C,113.9
YDR239C,8.6
YDR240C,9.6
YDR242W,0.4
YDR243C,13.2
YDR244W,13.5
YDR245W,53.9
YDR246W,32.4
YDR246W-A,7.1
YDR247W,5.4
YDR248C,15.9
YDR249C,4.6
YDR251W,19
YDR252W,15.7
YDR253C,1.8
YDR254W,4.6
YDR255C,5.1
YDR256C,0
YDR257C,21.2
YDR258C,53.7
YDR259C,1.7
YDR260C,23.9
YDR261C,29.9
YDR262W,36.6
YDR263C,0.4
YDR264C,38.5
YDR265W,5.4
YDR266C,28.4
YDR267C,23.1
YDR268W,10.6
YDR270W,8.2
YDR272W,66.2
YDR273W,1.3
YDR275W,5.5
YDR276C,783.8
YDR277C,1.9
YDR279W,12.9
YDR280W,51.9
YDR281C,26.4
YDR282C,4.4
YDR283C,7.8
YDR284C,50.1
YDR285W,1.1
YDR286C,19.9
YDR287W,16.2
YDR288W,6.8
YDR289C,17.6
YDR291W,6.5
YDR292C,32.4
YDR293C,47
YDR294C,52
YDR295C,11
YDR296W,34.8
YDR297W,51.3
YDR298C,120.8
YDR299W,43.5
YDR300C,70.9
YDR301W,11.8
YDR302W,44.1
YDR303C,21.7
YDR304C,244.5
YDR305C,40.2
YDR306C,7.9
YDR307W,18.1
YDR308C,41.6
YDR309C,51.4
YDR310C,13.1
YDR311W,16.9
YDR312W,33
YDR313C,7.4
YDR314C,1.4
YDR315C,4.3
YDR316W,8.8
YDR317W,1.4
YDR318W,4.8
YDR319C,9.9
YDR320C,17.8
YDR320C-A,65.2
YDR321W,199.7
YDR322C-A,90.9
YDR322W,25.4
YDR323C,6.9
YDR324C,52.9
YDR325W,10.3
YDR326C,18.4
YDR328C,133.4
YDR329C,20.5
YDR330W,15.2
YDR331W,36
YDR332W,3.5
YDR333C,22.9
YDR334W,5.7
YDR335W,26.9
YDR336W,5.9
YDR337W,24.9
YDR338C,6.7
YDR339C,60.1
YDR341C,225.6
YDR342C,46.9
YDR343C,45.8
YDR345C,229.9
YDR346C,131.7
YDR347W,33
YDR348C,28.3
YDR349C,15.6
YDR350C,3.5
YDR351W,12.3
YDR352W,24.5
YDR353W,404.2
YDR354W,56.3
YDR356W,11.3
YDR357C,24.5
YDR358W,8.4
YDR359C,6.1
YDR361C,100
YDR362C,8.5
YDR363W,6.3
YDR363W-A,205.8
YDR364C,9.1
YDR365C,66.6
YDR366C,5
YDR367W,42.4
YDR368W,158
YDR369C,4.8
YDR370C,9.7
YDR371W,7.8
YDR372C,78.8
YDR373W,60.6
YDR374C,0
YDR374W-A,21.6
YDR375C,10.2
YDR376W,15.5
YDR377W,187.5
YDR378C,141
YDR379C-A,12.2
YDR379W,5.4
YDR380W,59.5
YDR381C-A,15
YDR381W,297.7
YDR382W,3186.2
YDR383C,7.3
YDR384C,137.1
YDR385W,2958.2
YDR386W,4.9
YDR387C,2
YDR388W,105.9
YDR389W,14.9
YDR390C,43.6
YDR391C,17.1
YDR392W,15.7
YDR393W,6.5
YDR394W,156.9
YDR395W,82.3
YDR397C,51.5
YDR398W,43.7
YDR399W,156.7
YDR400W,32.3
YDR402C,0
YDR403W,0.9
YDR404C,70.1
YDR405W,22.4
YDR406W,3.4
YDR407C,9.5
YDR408C,69.7
YDR409W,5.1
YDR410C,24.5
YDR411C,40.9
YDR412W,50.8
YDR414C,8.3
YDR415C,26.3
YDR416W,7.9
YDR418W,3270.6
YDR419W,4.7
YDR420W,3.4
YDR421W,3.3
YDR422C,13.1
YDR423C,19.8
YDR424C,62.5
YDR425W,8.3
YDR427W,97.5
YDR428C,19.3
YDR429C,231.7
YDR430C,21.5
YDR432W,331
YDR434W,35.7
YDR435C,14.9
YDR436W,6.6
YDR437W,7.1
YDR438W,0.5
YDR439W,6.6
YDR440W,8.2
YDR441C,25.5
YDR443C,4.3
YDR444W,5.5
YDR446W,0
YDR447C,2350
YDR448W,18.1
YDR449C,53.3
YDR450W,2806.4
YDR451C,35.9
YDR452W,29.5
YDR453C,3.5
YDR454C,376.1
YDR456W,21.1
YDR457W,20.6
YDR458C,11.5
YDR459C,2.6
YDR460W,19
YDR461C-A,35.1
YDR461W,278
YDR462W,40.2
YDR463W,38.3
YDR464W,10.2
YDR465C,53.7
YDR466W,6.7
YDR468C,26.7
YDR469W,23.8
YDR470C,12
YDR471W,1008.6
YDR472W,37.9
YDR473C,6.2
YDR475C,4.5
YDR476C,47.2
YDR477W,42.6
YDR478W,10.9
YDR479C,7
YDR480W,13
YDR481C,113.6
YDR482C,30.8
YDR483W,174.6
YDR484W,9
YDR485C,7.3
YDR486C,42.7
YDR487C,211.1
YDR488C,10.7
YDR489W,13.1
YDR490C,9.8
YDR492W,42.6
YDR493W,31.5
YDR494W,15.6
YDR495C,6.3
YDR496C,89.6
YDR497C,88
YDR498C,10
YDR499W,4.8
YDR500C,2026.5
YDR501W,2.8
YDR502C,230.1
YDR503C,15.3
YDR504C,11.1
YDR505C,15.9
YDR506C,323.8
YDR507C,25.5
YDR508C,112.1
YDR510W,409.7
YDR511W,25.5
YDR512C,35.2
YDR513W,145.5
YDR514C,12.5
YDR515W,11.9
YDR516C,27.3
YDR517W,56.8
YDR518W,35.5
YDR519W,108.1
YDR520C,5.3
YDR522C,0
YDR523C,0.1
YDR524C,12.4
YDR524C-B,5683.4
YDR524W-C,0
YDR525W-A,85.4
YDR527W,26.9
YDR528W,14.6
YDR529C,100.8
YDR530C,12.7
YDR531W,56.1
YDR532C,4.4
YDR533C,17.8
YDR534C,9.3
YDR536W,0.4
YDR538W,8.6
YDR539W,22.1
YDR540C,2.7
YDR541C,8.7
YDR542W,0
YDR545W,0.3
YEL001C,167
YEL002C,162.9
YEL003W,75.2
YEL004W,7.8
