ORF,WT_1
YBR200W,18.5
YBR200W-A,0
YBR201C-A,7.1
YBR201W,11.4
YBR202W,22.7
YBR203W,0.4
YBR204C,12.3
YBR205W,96.5
YBR207W,30.4
YBR208C,13
YBR210W,30.9
YBR211C,9.8
YBR212W,29.1
YBR213W,11.2
YBR214W,15.8
YBR215W,10.7
YBR216C,13.5
YBR217W,6.4
YBR218C,87.5
YBR219C,17.8
YBR220C,18.2
YBR221C,375.5
YBR221W-A,0
YBR222C,66
YBR223C,4.4
YBR225W,5.4
YBR227C,19.1
YBR228W,4
YBR229C,27.1
YBR230C,40.9
YBR230W-A,23.7
YBR231C,11.7
YBR233W,16.1
YBR233W-A,25.9
YBR234C,105.9
YBR235W,7.6
YBR236C,23.1
YBR237W,4
YBR238C,17.4
YBR239C,4.9
YBR240C,0.1
YBR241C,6
YBR242W,36.8
YBR243C,32.1
YBR244W,110.5
YBR245C,32.4
YBR246W,19.3
YBR247C,54
YBR248C,51.1
YBR249C,349.9
YBR250W,0.4
YBR251W,27.7
YBR252W,134.7
YBR253W,34.3
YBR254C,28.5
YBR255C-A,16.1
YBR255W,5.7
YBR256C,40.3
YBR257W,14.6
YBR258C,9
YBR259W,2.8
YBR260C,19.3
YBR261C,65.4
YBR262C,41.7
YBR263W,204.9
YBR264C,23.4
YBR265W,39.5
YBR267W,39.8
YBR268W,58.4
YBR269C,51.1
YBR270C,2.3
YBR271W,14.8
YBR272C,19
YBR273C,26
YBR274W,8.2
YBR275C,7.2
YBR276C,4.8
YBR278W,15
YBR279W,40.4
YBR280C,5.5
YBR281C,19.2
YBR282W,48.2
YBR283C,194.6
YBR284W,0.6
YBR285W,1.7
YBR286W,468.9
YBR287W,39.3
YBR288C,29.6
YBR289W,11.4
YBR290W,21.7
YBR291C,10.1
YBR293W,1.7
YBR294W,0.1
YBR295W,1.6
YBR296C,36.4
YBR296C-A,0
YBR297W,4.3
YBR298C,0
YBR298C-A,1.2
YBR299W,0.9
YBR301W,0.5
YBR302C,33.9
YCL001W,110.1
YCL001W-A,0
YCL001W-B,0
YCL002C,8.9
YCL004W,3.2
YCL005W,10.5
YCL005W-A,290.8
YCL008C,42
YCL009C,252.9
YCL010C,18.5
YCL011C,72
YCL012C,27.6
YCL014W,10.8
YCL016C,7.8
YCL017C,71.9
YCL018W,0
YCL021W-A,13.1
YCL024W,6.5
YCL025C,13.9
YCL026C-A,0.5
YCL026C-B,15.7
YCL027W,7.4
YCL028W,118.3
YCL029C,13.1
YCL030C,165
YCL031C,62.5
YCL032W,11
YCL033C,35.4
YCL034W,42
YCL035C,173.8
YCL036W,7
YCL037C,215.2
YCL038C,9.3
YCL039W,8
YCL040W,109.6
YCL042W,116.6
YCL043C,622.4
YCL044C,26.2
YCL045C,88.7
YCL047C,23.1
YCL048W,0.1
YCL048W-A,0
YCL049C,16.7
YCL050C,271.6
YCL051W,6.7
YCL052C,15
YCL054W,43.1
YCL054W-A,50.1
YCL055W,22.3
YCL056C,10
YCL057C-A,88.4
YCL057W,70.1
YCL058C,65.1
YCL058W-A,28.6
YCL059C,99
YCL061C,9.1
YCL063W,13.7
YCL064C,361
YCL068C,2
YCL069W,0
YCL073C,0.2
YCR002C,81.5
YCR003W,36.3
YCR004C,174.3
YCR005C,108.8
YCR007C,1.6
YCR008W,19.5
YCR009C,107
YCR010C,0.4
YCR011C,40.1
YCR012W,8678.1
YCR014C,0.3
YCR015C,8.2
YCR016W,48
YCR017C,41.1
YCR018C,13.1
YCR019W,9.2
YCR020C,8.8
YCR020C-A,56.5
YCR020W-B,34
YCR021C,2.6
YCR023C,6.6
YCR024C,4.8
YCR024C-A,1779.8
YCR024C-B,862.6
YCR026C,14.5
YCR027C,16.6
YCR028C,17.3
YCR028C-A,322.8
YCR030C,29.3
YCR031C,3525.5
YCR032W,2.8
YCR033W,8.8
YCR034W,171.1
YCR035C,38.6
YCR036W,33.8
YCR037C,5.1
YCR038C,2.7
YCR039C,9.7
YCR040W,0.7
YCR041W,1.1
YCR042C,12.6
YCR043C,78.4
YCR044C,31.3
YCR045C,1.5
YCR046C,51.8
YCR047C,39.1
YCR048W,28.3
YCR050C,0
YCR051W,82.7
YCR052W,36.9
YCR053W,414.2
YCR054C,10.8
YCR057C,40.9
YCR059C,31.1
YCR060W,40.8
YCR061W,39.7
YCR063W,12.3
YCR065W,24.5
YCR066W,4.8
YCR067C,27.1
YCR068W,11.3
YCR069W,65.2
YCR071C,38.5
YCR072C,34.5
YCR073C,1.8
YCR073W-A,37.2
YCR075C,11.8
YCR075W-A,33.2
YCR076C,19.2
YCR077C,56.9
YCR079W,3.1
YCR081W,6.1
YCR082W,83.2
YCR083W,47.7
YCR084C,87
YCR086W,18.5
YCR087C-A,86.8
YCR088W,185.8
YCR089W,0.9
YCR090C,56.5
YCR091W,2.1
YCR092C,6.8
YCR093W,31.3
YCR094W,30.4
YCR095C,14
YCR095W-A,2
YCR098C,0.7
YCR099C,0
YCR100C,0
YCR101C,1.6
YCR102C,0.2
YCR104W,0.5
YCR105W,1
YCR106W,2.5
YCR107W,0.1
YCR108C,0
YDL001W,11.8
YDL002C,31.2
YDL003W,27.4
YDL004W,138.3
YDL005C,23.1
YDL006W,20.8
YDL007C-A,0
YDL007W,303.3
YDL008W,26.6
YDL009C,0
YDL010W,39.7
YDL012C,83.2
YDL013W,7.8
YDL014W,529.1
YDL015C,176.9
YDL017W,5.7
YDL018C,35.2
YDL019C,18.3
YDL020C,34.1
YDL021W,6.2
YDL022C-A,0
YDL022W,137
YDL024C,0.3
YDL025C,9.4
YDL027C,7
YDL028C,7.1
YDL029W,132.5
YDL030W,11.5
YDL031W,38.2
YDL033C,5.1
YDL035C,10.6
YDL036C,13.2
YDL037C,0.3
YDL039C,0
YDL040C,82.2
YDL042C,13.2
YDL043C,17.7
YDL044C,8.8
YDL045C,17.4
YDL045W-A,65.5
YDL046W,167.9
YDL047W,51.3
YDL048C,1.5
YDL049C,1.5
YDL051W,166.5
YDL052C,85.6
YDL053C,63.7
YDL054C,14.2
YDL055C,1408.8
YDL056W,7.5
YDL057W,7.9
YDL058W,20.5
YDL059C,5.2
YDL060W,45.3
YDL061C,2039.9
YDL063C,32.6
YDL064W,133.2
YDL065C,31.9
YDL066W,240.3
YDL067C,161.9
YDL069C,5.1
YDL070W,39.9
YDL072C,136.2
YDL073W,8
YDL074C,26.7
YDL075W,2914.7
YDL076C,23.2
YDL077C,7.1
YDL078C,107.2
YDL079C,0.1
YDL080C,3.5
YDL081C,2668.8
YDL082W,1989.3
YDL083C,2176.4
YDL084W,448.2
YDL085C-A,72.7
YDL085W,0.4
YDL086W,69.5
YDL087C,11.3
YDL088C,19.1
YDL089W,10.7
YDL090C,12.7
YDL091C,7.2
YDL092W,91.6
YDL093W,20.3
YDL095W,128.5
YDL097C,132
YDL098C,13.6
YDL099W,39
YDL100C,241.7
YDL101C,13.9
YDL102W,19
YDL103C,55
YDL104C,3.6
YDL105W,7.1
YDL106C,16.1
YDL107W,5.7
YDL108W,20.2
YDL109C,0.7
YDL110C,23.1
YDL111C,41.9
YDL112W,28.8
YDL113C,7.9
YDL114W,0.1
YDL115C,10.6
YDL116W,27.8
YDL117W,13
YDL119C,7.8
YDL120W,70.8
YDL121C,91.9
YDL122W,31.3
YDL123W,30.8
YDL124W,121.5
YDL125C,262.3
YDL126C,419.4
YDL127W,17.9
YDL128W,62.8
YDL129W,6.3
YDL130W,2724.4
YDL130W-A,51.5
YDL131W,220.6
YDL132W,38.3
YDL133C-A,11895
YDL133W,10.6
YDL134C,57.7
YDL135C,102.4
YDL136W,3462.6
YDL137W,330.7
YDL138W,2.2
YDL139C,7.9
YDL140C,94.2
YDL141W,24.3
YDL142C,11.7
YDL143W,153.2
YDL144C,25.9
YDL145C,138.8
YDL146W,7.3
YDL147W,141.1
YDL148C,41.4
YDL149W,2.8
YDL150W,29.1
YDL153C,52.8
YDL154W,0.2
YDL155W,14.8
YDL156W,8
YDL157C,132.5
YDL159W,10.7
YDL159W-A,8.2
YDL160C,156.7
YDL160C-A,35.5
YDL161W,34.3
YDL164C,20.1
YDL165W,57.6
YDL166C,56.3
YDL167C,24.4
YDL168W,94.6
YDL169C,1.5
YDL170W,7.1
YDL171C,87.9
YDL173W,47
YDL174C,17.5
YDL175C,12.6
YDL176W,4
YDL177C,6.4
YDL178W,38.7
YDL179W,20.4
YDL180W,10.7
YDL181W,14.8
YDL182W,280.2
YDL183C,5.3
YDL184C,11671.6
YDL185W,561.7
YDL186W,0.2
YDL188C,52.7
YDL189W,24
YDL190C,29
YDL191W,3721.3
YDL192W,917.9
YDL193W,37.5
YDL194W,1.2
YDL195W,127.4
YDL197C,4.3
YDL198C,58.8
YDL199C,2.9
YDL200C,19.3
YDL201W,68.7
YDL202W,30.7
YDL203C,12.1
YDL204W,0.7
YDL205C,47
YDL206W,2.2
YDL207W,12.4
YDL208W,290.8
YDL209C,9.4
YDL210W,0.6
YDL211C,3.7
YDL212W,166.6
YDL213C,74.7
YDL214C,0
YDL215C,12.2
YDL216C,4.8
YDL217C,41.3
YDL218W,0.2
YDL219W,79.2
YDL220C,4.5
YDL222C,0.6
YDL223C,1.3
YDL224C,24.3
YDL225W,42.6
YDL226C,111.8
YDL227C,47.3
YDL229W,3218.8
YDL230W,13.4
YDL231C,0.8
YDL232W,142.9
YDL233W,8.4
YDL234C,10.2
YDL235C,72.8
YDL236W,93.7
YDL237W,52.7
YDL238C,4
YDL239C,0
YDL240W,6.9
YDL241W,28.1
YDL243C,0.4
YDL244W,0.7
YDL245C,0
YDL246C,1.2
YDL247W,0.1
YDL248W,18.6
YDR001C,21.5
YDR002W,541.6
YDR003W,16.1
YDR003W-A,19.1
YDR004W,4.2
YDR005C,17.1
YDR006C,11.9
YDR007W,29.1
YDR009W,1
YDR011W,48
YDR012W,2961.9
YDR013W,39.6
YDR014W,5
YDR014W-A,0.8
YDR016C,34.2
YDR017C,12.4
YDR018C,0.5
YDR019C,61
YDR020C,17.2
YDR021W,11.4
YDR022C,65.7
YDR023W,518
YDR025W,2494.5
YDR026C,8.2
YDR027C,10.3
YDR028C,30.4
YDR030C,3
YDR031W,20.8
YDR032C,230.8
YDR033W,647.6
YDR034C,10.2
YDR034C-A,12.2
YDR034W-B,5.2
YDR035W,114.5
YDR036C,36
YDR037W,525
YDR038C,36.1
YDR039C,38.2
YDR040C,32.4
YDR041W,42.4
YDR042C,1.1
YDR043C,9.5
YDR044W,85.5
YDR045C,68
YDR046C,46.5
YDR047W,42
YDR049W,13.8
YDR050C,5332.4
YDR051C,26.5
YDR052C,13.1
YDR054C,68.4
YDR055W,75.7
YDR056C,86.4
YDR057W,14.5
YDR058C,4.5
YDR059C,24.4
YDR060W,59.3
YDR061W,17
YDR062W,86.1
YDR063W,51.8
YDR064W,3905.6
YDR065W,6.7
YDR066C,5.9
YDR067C,13.1
YDR068W,31.1
YDR069C,6.1
YDR070C,3.5
YDR071C,232.4
YDR072C,37.3
YDR073W,16.4
YDR074W,29
YDR075W,17
YDR076W,3.1
YDR077W,750.5
YDR078C,4.2
YDR079C-A,30
YDR079W,37.6
YDR080W,8.8
YDR081C,11.6
YDR082W,3.4
YDR083W,42.6
YDR084C,57.9
YDR085C,2.1
YDR086C,457.6
YDR087C,69.6
YDR088C,13.4
YDR089W,16.3
YDR090C,23.5
YDR091C,125.3
YDR092W,109.7
YDR093W,18.7
YDR096W,6.7
YDR097C,18.7
YDR098C,150.3
YDR099W,431.4
YDR100W,71.9
YDR101C,80
YDR103W,11.6
YDR104C,2.6
YDR105C,19.2
YDR106W,1.6
YDR107C,12.1
YDR108W,7.3
YDR109C,5.1
YDR110W,15.3
YDR111C,11.2
YDR113C,19.7
YDR114C,0.3
YDR115W,74.8
YDR116C,29.9
YDR117C,29.7
YDR118W,5.4
YDR119W,46.2
YDR119W-A,1.7
YDR120C,60.2
YDR121W,40.8
YDR122W,15.1
YDR123C,8.7
YDR124W,0.2
YDR125C,1.4
YDR126W,4.5
YDR127W,78.4
YDR128W,7.3
YDR129C,146.2
YDR130C,10.8
YDR131C,4.5
YDR132C,4.9
YDR135C,36.5
YDR137W,8.3
YDR138W,14.9
YDR139C,100.5
YDR140W,25.9
YDR141C,15.9
YDR142C,6.1
YDR143C,21.4
YDR144C,55.7
YDR145W,28.2
YDR146C,25.2
YDR147W,15.1
YDR148C,70.4
YDR150W,20.3
YDR151C,29.6
YDR152W,69.6
YDR153C,37.3
YDR155C,3170
YDR156W,99.1
YDR158W,471.1
YDR159W,7.4
YDR160W,1.6
YDR161W,62.7
YDR162C,19.4
YDR163W,19.5
YDR164C,17.2
YDR165W,67.8
YDR166C,13.9
YDR167W,36.1
YDR168W,93.1
YDR169C,13.7
YDR169C-A,0
YDR170C,54.3
YDR171W,25.6
YDR172W,186.2
YDR173C,10.5
YDR174W,154.5
YDR175C,28.5
YDR176W,13
YDR177W,119.8
YDR178W,58.6
YDR179C,13.5
YDR179W-A,5
YDR180W,6.6
YDR181C,7.2
YDR182W,37.5
YDR182W-A,17.6
YDR183W,15.6
YDR184C,20.7
YDR185C,3.4
YDR186C,16
YDR188W,153.7
YDR189W,41.8
YDR190C,102.1
YDR191W,5.6
YDR192C,17.5
YDR194C,49.4
YDR194W-A,0.5
YDR195W,14.6
YDR196C,22.8
YDR197W,8.4
YDR198C,9.2
YDR200C,7.7
YDR201W,19.3
YDR202C,12.6
YDR204W,21
YDR205W,11.9
YDR206W,10.8
YDR207C,9.2
YDR208W,19.9
YDR210W,166.1
YDR211W,60.8
YDR212W,168.3
YDR213W,9.1
YDR214W,131.6
YDR216W,2.8
YDR217C,7.5
YDR218C,0.1
YDR219C,17.4
YDR221W,24.2
YDR222W,13.6
YDR223W,0.3
YDR224C,890.3
YDR225W,1002.3
YDR226W,916.8
YDR227W,6.6
YDR228C,13.2
YDR229W,16.7
YDR231C,18.2
YDR232W,84.2
YDR233C,362.3
YDR234W,47.3
YDR235W,10.2
YDR236C,18.8
YDR237W,33.3
YDR238C,120.2
YDR239C,10.3
YDR240C,11.1
YDR242W,0.7
YDR243C,8.6
YDR244W,15.4
YDR245W,62.3
YDR246W,25.5
YDR246W-A,2.1
YDR247W,8.1
YDR248C,22
YDR249C,4
YDR251W,22.2
YDR252W,13.3
YDR253C,2
YDR254W,6.1
YDR255C,4.6
YDR256C,0.2
YDR257C,18.9
YDR258C,33.5
YDR259C,1.3
YDR260C,18.9
YDR261C,27.6
YDR262W,38.1
YDR263C,0.8
YDR264C,50.2
YDR265W,7.3
YDR266C,32.1
YDR267C,20.3
YDR268W,14.2
YDR270W,10.5
YDR272W,71.5
YDR273W,1.7
YDR275W,4.7
YDR276C,876
YDR277C,2.5
YDR279W,18.7
YDR280W,43
YDR281C,39.2
YDR282C,4.8
YDR283C,8.6
YDR284C,49
YDR285W,1.1
YDR286C,16.3
YDR287W,18.7
YDR288W,8.1
YDR289C,20.8
YDR291W,5.3
YDR292C,41.5
YDR293C,39.7
YDR294C,41.3
YDR295C,11.4
YDR296W,39.5
YDR297W,74.8
YDR298C,126.3
YDR299W,38.3
YDR300C,66.7
YDR301W,12.3
YDR302W,42.3
YDR303C,23.3
YDR304C,259.2
YDR305C,49.9
YDR306C,8.8
YDR307W,18.2
YDR308C,31.9
YDR309C,46.5
YDR310C,14.1
YDR311W,13.9
YDR312W,30.3
YDR313C,7.6
YDR314C,1.3
YDR315C,3.9
YDR316W,10.5
YDR317W,2.1
YDR318W,6.7
YDR319C,12
YDR320C,19.6
YDR320C-A,71
YDR321W,176.6
YDR322C-A,65.8
YDR322W,25.8
YDR323C,6.6
YDR324C,43
YDR325W,8.9
YDR326C,20
YDR328C,150.8
YDR329C,15.6
YDR330W,17.1
YDR331W,39.4
YDR332W,3.9
YDR333C,20.3
YDR334W,5.9
YDR335W,23
YDR336W,4.8
YDR337W,30.8
YDR338C,6
YDR339C,63.8
YDR341C,251.4
YDR342C,42.9
YDR343C,44.7
YDR345C,261.3
YDR346C,124.3
YDR347W,35.2
YDR348C,28.4
YDR349C,18.8
YDR350C,3.8
YDR351W,11.5
YDR352W,26.7
YDR353W,419
YDR354W,37.8
YDR356W,13.2
YDR357C,27.3
YDR358W,13.1
YDR359C,6.6
YDR361C,77
YDR362C,8.4
YDR363W,6.7
YDR363W-A,168.6
YDR364C,7.5
YDR365C,43
YDR366C,9.2
YDR367W,45.2
YDR368W,125.4
YDR369C,4.1
YDR370C,7.6
YDR371W,8.7
YDR372C,69.4
YDR373W,72.3
YDR374C,0.1
YDR374W-A,18.2
YDR375C,11
YDR376W,16.1
YDR377W,160.9
YDR378C,135.3
YDR379C-A,12.4
YDR379W,6.4
YDR380W,5.2
YDR381C-A,16.6
YDR381W,331
YDR382W,3394.5
YDR383C,7.3
YDR384C,134.7
YDR385W,3243.5
YDR386W,4.9
YDR387C,3.6
YDR388W,111.7
YDR389W,17.5
YDR390C,34.3
YDR391C,14.6
YDR392W,15.5
YDR393W,8.4
YDR394W,105.6
YDR395W,69.8
YDR397C,65.6
YDR398W,40.5
YDR399W,168.1
YDR400W,33.9
YDR402C,0.1
YDR403W,0.9
YDR404C,78.1
YDR405W,19.5
YDR406W,5.1
YDR407C,9.6
YDR408C,80
YDR409W,7.8
YDR410C,31.6
YDR411C,33.7
YDR412W,56.3
YDR414C,14
YDR415C,25.6
YDR416W,7.7
YDR418W,3017.1
YDR419W,5.6
YDR420W,3.1
YDR421W,3.7
YDR422C,14.7
YDR423C,25.3
YDR424C,76.3
YDR425W,7.7
YDR427W,115.6
YDR428C,23.3
YDR429C,268.7
YDR430C,23.8
YDR432W,333.7
YDR434W,37.2
YDR435C,13
YDR436W,6.4
YDR437W,11.4
YDR438W,0.4
YDR439W,7.9
YDR440W,8.5
YDR441C,35.6
YDR443C,4.7
YDR444W,5.2
YDR446W,0.3
YDR447C,2271.6
YDR448W,17.5
YDR449C,34.9
YDR450W,2834.1
YDR451C,31.5
YDR452W,39.2
YDR453C,9.4
YDR454C,375.8
YDR456W,26.2
YDR457W,21.8
YDR458C,15.7
YDR459C,3.9
YDR460W,18
YDR461C-A,32.9
YDR461W,336.2
YDR462W,63.7
YDR463W,35.8
YDR464W,10
YDR465C,44.2
YDR466W,7.7
YDR468C,35.9
YDR469W,24.1
YDR470C,13.1
YDR471W,1108.5
YDR472W,22.5
YDR473C,9.2
YDR475C,5.6
YDR476C,51.3
YDR477W,44.2
YDR478W,11.7
YDR479C,7.4
YDR480W,11.5
YDR481C,134.2
YDR482C,35.1
YDR483W,160.4
YDR484W,8.7
YDR485C,7.9
YDR486C,45.6
YDR487C,153
YDR488C,8
YDR489W,12.7
YDR490C,8.3
YDR492W,34.8
YDR493W,28.8
YDR494W,23.8
YDR495C,5.7
YDR496C,72.1
YDR497C,72.2
YDR498C,12.4
YDR499W,4.2
YDR500C,2165.9
YDR501W,5.6
YDR502C,240.7
YDR503C,14.1
YDR504C,9.7
YDR505C,18.2
YDR506C,308.6
YDR507C,29.5
YDR508C,122.6
YDR510W,435.1
YDR511W,34.4
YDR512C,30.2
YDR513W,135.2
YDR514C,12.4
YDR515W,16.9
YDR516C,41.9
YDR517W,46
YDR518W,56.3
YDR519W,122.7
YDR520C,4.8
YDR522C,0.1
YDR523C,0.1
YDR524C,12.3
YDR524C-B,5465
YDR524W-C,0
YDR525W-A,95.1
YDR527W,21.6
YDR528W,13.1
YDR529C,80.4
YDR530C,12.2
YDR531W,42
YDR532C,7.8
YDR533C,10.8
YDR534C,29.1
YDR536W,0
YDR538W,16.1
YDR539W,29.2
YDR540C,2.7
YDR541C,4.4
YDR542W,0
YDR545W,0.3
YEL001C,192.9
YEL002C,165
YEL003W,123.9
YEL004W,9.7
