# Created by: riboviz
# Date: 2025-09-09 21:53:34.507091
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	eRF1Depletion_1	CHX_1
YBR011C	933.1	1255.8
YBR013C	19.2	10.3
YBR014C	69.5	45.3
YBR015C	44.6	67.2
YBR016W	339.2	200.5
YBR017C	30.2	45.9
YBR018C	0.2	0.3
YBR019C	0.1	0.1
YBR020W	0.2	0.1
YBR021W	2.2	6.6
YBR022W	17.2	15.9
YBR023C	16.3	19.5
YBR024W	9	9.8
YBR025C	391.5	620.8
YBR026C	47.7	44.6
YBR028C	13.3	12.5
YBR029C	32.7	42.4
YBR030W	32	52.8
YBR031W	3487.4	3937.8
YBR033W	0.2	0.1
YBR034C	65	74.9
YBR035C	235.5	113.5
YBR036C	56.1	65.8
YBR037C	20	16.8
YBR038W	23	26.4
YBR039W	133	114.6
YBR040W	0.8	0.7
YBR041W	18.9	22.5
YBR042C	12.8	18
YBR043C	6.9	2.3
YBR044C	2.4	3.7
YBR045C	0.4	0.5
YBR046C	37.4	35.7
YBR047W	26.1	5
YBR048W	3007	2589.6
YBR049C	60.7	49.2
YBR050C	0.5	0.8
YBR052C	67.3	88.1
YBR053C	25.2	36
YBR054W	31.3	12.3
YBR055C	8	7.6
YBR056W	102.3	121.8
YBR056W-A	31.9	10.8
YBR057C	20.7	18.4
YBR058C	23.3	26.6
YBR058C-A	109.5	86.4
YBR059C	19.5	22.9
YBR060C	9.8	11.6
YBR061C	36.6	33.2
YBR062C	41.2	25.9
YBR063C	0.1	0
YBR065C	7.7	9.1
YBR066C	21.5	21
YBR067C	396.7	400.4
YBR068C	128.8	108.1
YBR069C	51	103.5
YBR070C	12.5	13.6
YBR071W	56.7	38.6
YBR072C-A	0.3	0.6
YBR072W	15.2	22.6
YBR073W	13.8	16.8
YBR074W	17	23.6
YBR076W	0.2	0.1
YBR077C	47.4	30.5
YBR078W	750.3	1146
YBR079C	126.6	148.4
YBR080C	59.2	51.9
YBR081C	6.4	8.3
YBR082C	418.1	680.7
YBR083W	34.6	28.4
YBR084C-A	3137	2933.7
YBR084W	52.7	72.2
YBR085C-A	186.8	128.8
YBR085W	8.8	16
YBR086C	31.8	50.4
YBR087W	31.3	24.8
YBR088C	134.4	139.4
YBR089C-A	204	115.8
YBR090C	202.6	114.6
YBR091C	68.1	39.9
YBR092C	124.2	195.9
YBR093C	111.5	202.9
YBR094W	11.1	14.1
YBR095C	13.5	11.8
YBR096W	56.9	68.2
YBR097W	2.2	2.9
YBR098W	2.9	2.5
YBR101C	131.2	108.7
YBR102C	12.1	11.2
YBR103W	8.7	11.2
YBR104W	62.6	28
YBR105C	8.3	7.1
YBR106W	516.5	565.1
YBR107C	3.3	2.2
YBR108W	16.6	15
YBR109C	534.2	462.5
YBR110W	15.3	16.1
YBR111C	108.1	114.9
YBR111W-A	69.3	30.8
YBR112C	48.1	51.6
YBR114W	3.8	3.5
YBR115C	143.5	54.9
YBR117C	0.2	0.2
YBR118W	18119.9	20966.2
YBR119W	16.8	10.3
YBR120C	23.1	15.7
YBR121C	231.4	310.9
YBR122C	48.2	35.1
YBR123C	11.4	12.5
YBR125C	8.3	12.9
YBR126C	182.2	140.4
YBR126W-A	386.5	329.3
YBR127C	480.8	547.2
YBR128C	1.8	1.5
YBR129C	10.1	10.4
YBR130C	34	29.5
YBR131W	2.7	3.7
YBR132C	10.2	10.3
YBR133C	6.9	8.8
YBR135W	69.7	62.7
YBR136W	1.3	1.9
YBR137W	71.7	47.6
YBR138C	8.7	5.8
YBR139W	37.3	39.7
YBR140C	2.4	4.2
YBR141C	8.6	9.1
YBR142W	19.3	26.5
YBR143C	1.1	229.4
YBR145W	67.4	8.2
YBR146W	24.8	28.2
YBR147W	2.9	0.4
YBR148W	0.6	0.6
YBR149W	140.5	110.4
YBR150C	2.3	3.3
YBR151W	34	32
YBR152W	8.4	7.2
YBR153W	10.9	8.2
YBR154C	244.7	192.2
YBR155W	32.8	40
YBR156C	5.1	4.5
YBR157C	38.6	21.4
YBR158W	29.2	32.3
YBR159W	59.2	96.6
YBR160W	70.6	41
YBR161W	8	9.3
YBR162C	210.3	358.6
YBR162W-A	231.9	203.2
YBR163W	1.8	2.1
YBR164C	62.6	110.6
YBR165W	19.2	14.3
YBR166C	43.6	30
YBR167C	18.6	12.5
YBR168W	3	3.6
YBR169C	15.2	15.9
YBR170C	32.5	27.6
YBR171W	113	67.1
YBR172C	29	26.6
YBR173C	272.7	155.3
YBR175W	13.6	11.8
YBR176W	17.8	18.5
YBR177C	48.3	54
YBR179C	7.3	8.7
YBR180W	0.1	0.1
YBR181C	4034.9	4183.7
YBR182C	1.1	0.9
YBR182C-A	0.6	0.3
YBR183W	4.9	5.2
YBR184W	1.5	1.4
YBR185C	12.1	13.3
YBR186W	0.5	0.7
YBR187W	61.6	101.3
YBR188C	33.7	23.4
YBR189W	3029	3534.7
YBR191W	2991.9	2729.1
YBR192W	15.5	16.6
YBR193C	25.1	18.4
YBR194W	17.5	8.6
YBR195C	9.3	10.9
YBR196C	816.2	1517.4
YBR196C-A	597.4	710.6
YBR196C-B	2.1	0.5
YBR197C	29.9	18.3
YBR198C	28.2	31.1
YBR199W	37.3	39.9
YBR200W	10.9	15.5
YBR200W-A	0	0
YBR201C-A	7.9	5.3
YBR201W	7.6	9.1
YBR202W	19.2	19.7
YBR203W	0.4	0.3
YBR204C	13.1	11.2
YBR205W	52.4	70.4
YBR207W	19.1	23.9
YBR208C	2.2	7.5
YBR210W	19.6	24
YBR211C	11.6	10.7
YBR212W	42.8	31
YBR213W	9.3	10.4
YBR214W	26	20.5
YBR215W	18	14.6
YBR216C	12.2	12
YBR217W	3.5	5.4
YBR218C	73.3	54.6
YBR219C	9.4	13.4
YBR220C	8.7	12.7
YBR221C	246.2	307.7
YBR221W-A	0.1	0.1
YBR222C	51.1	47.9
YBR223C	2.9	2.5
YBR225W	3.4	3.9
YBR227C	14.2	15.3
YBR228W	4.9	3.4
YBR229C	16.7	25.2
YBR230C	91.6	69.5
YBR230W-A	38	26.4
YBR231C	27	17.3
YBR233W	17.5	14.3
YBR233W-A	37.6	25.7
YBR234C	68.3	93.4
YBR235W	5.5	7.2
YBR236C	21	20.9
YBR237W	3.1	2.5
YBR238C	5.5	8.1
YBR239C	3.6	3
YBR240C	0.5	0.5
YBR241C	7.9	8.6
YBR242W	30.3	31.4
YBR243C	18.6	27.7
YBR244W	126.6	128.5
YBR245C	31.9	30.4
YBR246W	10.3	14.3
YBR247C	43.2	49.7
YBR248C	110.6	59.5
YBR249C	831.1	371.6
YBR250W	0.3	0.2
YBR251W	18.3	17.1
YBR252W	171.2	163.5
YBR253W	30.7	25.1
YBR254C	30.6	24.8
YBR255C-A	21	16.4
YBR255W	3.1	3.5
YBR256C	88.3	21.6
YBR257W	13.1	12.6
YBR258C	15.2	8.9
YBR259W	1.3	1.8
YBR260C	17.6	17.5
YBR261C	81.8	86
YBR262C	32	34.3
YBR263W	115.5	187
YBR264C	18.2	23.8
YBR265W	40.4	44.8
YBR267W	44.7	47
YBR268W	36	46.6
YBR269C	74.1	43
YBR270C	2	1.4
YBR271W	10.9	12.4
YBR272C	12.8	11.3
YBR273C	44.1	27.8
YBR274W	6.1	6.5
YBR275C	4	4.3
YBR276C	2.2	2.7
YBR278W	11.5	12.1
YBR279W	34.5	37.2
YBR280C	4.7	5.1
YBR281C	9.1	13.1
YBR282W	65.1	51.6
YBR283C	130.8	169.7
YBR284W	0.7	0.4
YBR285W	1	1.1
YBR286W	295.3	409.5
YBR287W	30.8	38.4
YBR288C	16.7	25.6
YBR289W	17.8	13.2
YBR290W	27.4	18.3
YBR291C	11.5	10.1
YBR293W	2	1.5
YBR294W	0.1	0.1
YBR295W	1.3	1.2
YBR296C	42.4	66
YBR296C-A	0	0
YBR297W	1.8	2.5
YBR298C	0.1	0
YBR298C-A	0.9	0.2
YBR299W	0.4	0.4
YBR301W	0.4	0.5
YBR302C	23.3	28
YCL001W	100.7	89.5
YCL001W-A	0.1	0.1
YCL001W-B	0.1	0
YCL002C	3.4	5.3
YCL004W	2.5	2.3
YCL005W	5.7	8.6
YCL005W-A	336	250.5
YCL008C	49.6	29.7
YCL009C	433.1	224.3
YCL010C	27.3	19.8
YCL011C	66.1	65.4
YCL012C	16.9	15.9
YCL014W	5.7	8.6
YCL016C	6.5	7
YCL017C	48.7	60.7
YCL018W	0.3	0
YCL021W-A	8.2	4.9
YCL024W	3.8	4.3
YCL025C	13.8	18.7
YCL026C-A	0.7	0.6
YCL026C-B	7.8	7.1
YCL027W	8.8	8.8
YCL028W	181	197.8
YCL029C	19.1	14.8
YCL030C	511.1	156.5
YCL031C	41.3	40
YCL032W	9.9	11.1
YCL033C	36.2	42.8
YCL034W	48.9	47.4
YCL035C	203.1	254
YCL036W	3.3	7.7
YCL037C	267.7	387.5
YCL038C	6	8.7
YCL039W	7.5	7.9
YCL040W	87.5	118.5
YCL042W	100.6	108.5
YCL043C	575	586.2
YCL044C	25.3	24
YCL045C	47.2	71.1
YCL047C	18.4	17.8
YCL048W	0.2	0.1
YCL048W-A	0.5	0.4
YCL049C	13.1	9.2
YCL050C	60.7	309.1
YCL051W	8.4	7.2
YCL052C	10.9	9.6
YCL054W	40.3	37.9
YCL054W-A	37.6	25.2
YCL055W	30.9	23.2
YCL056C	5.5	4.9
YCL057C-A	157	137.5
YCL057W	64.6	56.2
YCL058C	105.1	96.8
YCL058W-A	47.5	30.9
YCL059C	78	87
YCL061C	7.3	10.9
YCL063W	10.5	9.8
YCL064C	173	206.3
YCL068C	2.5	2.5
YCL069W	0.1	0.1
YCL073C	0.3	0.3
YCR002C	68.4	70.5
YCR003W	25.5	22.6
YCR004C	215.7	215.6
YCR005C	29.6	55.6
YCR007C	1.7	1.3
YCR008W	9.9	13.8
YCR009C	92.1	100.6
YCR010C	0.2	0.2
YCR011C	23.6	36
YCR012W	6838.4	6731.2
YCR014C	1.5	1.6
YCR015C	7.8	5.9
YCR016W	31.5	39.7
YCR017C	21	33.7
YCR018C	8.2	7.7
YCR019W	5.8	6.8
YCR020C	8.6	5.4
YCR020C-A	55.4	35.7
YCR020W-B	96.2	19.2
YCR021C	2.3	2.8
YCR023C	4.4	6.3
YCR024C	2.2	2.5
YCR024C-A	1208.4	1337
YCR024C-B	636.9	708.1
YCR026C	9.1	10.5
YCR027C	10.8	10.7
YCR028C	9.2	13.3
YCR028C-A	286.8	204.5
YCR030C	23.1	25
YCR031C	3861.7	4080.1
YCR032W	1	1.4
YCR033W	7.4	7.2
YCR034W	109.9	148.1
YCR035C	17.3	28.7
YCR036W	29.6	27.5
YCR037C	2.5	2.2
YCR038C	2.6	2.2
YCR039C	8.7	4.1
YCR040W	0.5	0.2
YCR041W	0.9	0.3
YCR042C	7.8	10.4
YCR043C	71.5	78.5
YCR044C	16	19.6
YCR045C	0.8	0.5
YCR046C	44.3	46.4
YCR047C	40.3	49.1
YCR048W	23.7	33
YCR050C	0.1	0
YCR051W	85.3	90.6
YCR052W	30.9	40.3
YCR053W	461.9	368.8
YCR054C	9.6	10.4
YCR057C	20.5	30.9
YCR059C	22	28
YCR060W	62.5	34.1
YCR061W	18.9	22.6
YCR063W	16.7	11.8
YCR065W	27.4	22.4
YCR066W	5.9	4.2
YCR067C	16.5	18.6
YCR068W	5.2	7.5
YCR069W	44.4	54.5
YCR071C	30.8	29.7
YCR072C	47	43
YCR073C	0.6	1
YCR073W-A	48.1	42.6
YCR075C	5.7	11.5
YCR075W-A	28.4	28.6
YCR076C	37.1	25
YCR077C	64.8	65.6
YCR079W	1.6	2.5
YCR081W	2.9	3.3
YCR082W	83.6	55.1
YCR083W	39.3	33.9
YCR084C	57.5	91
YCR086W	31.9	20.7
YCR087C-A	112.3	100.6
YCR088W	289.8	296.7
YCR089W	1.7	2.7
YCR090C	38.2	40.4
YCR091W	1.4	1.4
YCR092C	6.4	6.1
YCR093W	19.8	25.3
YCR094W	18.4	21.9
YCR095C	8	8.1
YCR095W-A	3.7	1.4
YCR098C	0.5	0.9
YCR099C	0	0
YCR100C	0.1	0.1
YCR101C	1.8	1.1
YCR102C	1.7	1.1
YCR104W	0	0.1
YCR105W	0.9	0.8
YCR106W	1.5	1.8
YCR107W	0.1	0.1
YCR108C	0.1	0
YDL001W	13.1	12
YDL002C	38.5	27.7
YDL003W	24.6	25.7
YDL004W	147.9	170.9
YDL005C	9.4	16.1
YDL006W	15.8	17.8
YDL007C-A	0	0
YDL007W	465.5	833.2
YDL008W	17	18.4
YDL009C	0	0.1
YDL010W	37.1	26.2
YDL012C	180.5	134.7
YDL013W	7.9	7.9
YDL014W	486.8	679
YDL015C	190.3	159.2
YDL017W	6.5	6.2
YDL018C	21.3	25.7
YDL019C	8.6	15.7
YDL020C	25.4	20.3
YDL021W	2.6	3.1
YDL022C-A	2.3	0.4
YDL022W	211.6	171.4
YDL024C	0.6	0.4
YDL025C	9.9	7.2
YDL027C	4.7	5.2
YDL028C	6.7	5.6
YDL029W	116.6	121.8
YDL030W	7.3	7.6
YDL031W	32.8	37.8
YDL033C	3.7	4
YDL035C	4.5	6.5
YDL036C	7.6	6.5
YDL037C	0.2	0.1
YDL039C	0	0
YDL040C	44.6	57.8
YDL042C	13.3	14.4
YDL043C	21.4	18.7
YDL044C	5.6	5.5
YDL045C	14.1	14.9
YDL045W-A	49.1	42.7
YDL046W	104.7	130.9
YDL047W	36.8	42.3
YDL048C	1.9	1
YDL049C	1.7	1.4
YDL051W	162	170.6
YDL052C	55.1	71.9
YDL053C	57.9	70.4
YDL054C	16.8	11.1
YDL055C	1124.8	1337.6
YDL056W	9.2	8.6
YDL057W	7.5	6
YDL058W	14.9	16.4
YDL059C	5.2	5.2
YDL060W	22.7	32.4
YDL061C	2797.9	2139.5
YDL063C	17.1	22.3
YDL064W	114.5	97.3
YDL065C	33.2	42
YDL066W	208.9	186.1
YDL067C	243.8	182.4
YDL069C	5	3.3
YDL070W	31.8	31.5
YDL072C	147	133
YDL073W	2.4	3.7
YDL074C	18.6	22.1
YDL075W	4111	3693.5
YDL076C	20.6	18.9
YDL077C	3.8	4
YDL078C	70.3	100.4
YDL079C	0.2	0.1
YDL080C	3.1	2.6
YDL081C	2871.1	2684.3
YDL082W	2315.1	1888.3
YDL083C	1794.7	2137.7
YDL084W	396.8	517.2
YDL085C-A	78	60.7
YDL085W	0.3	0.2
YDL086W	63.9	69.7
YDL087C	10.5	10.2
YDL088C	21.3	17.6
YDL089W	7.5	8.3
YDL090C	9.2	9.3
YDL091C	7.1	7.2
YDL092W	85.1	86
YDL093W	13.5	15.9
YDL095W	98.5	150
YDL097C	214.4	140.3
YDL098C	17.1	11.3
YDL099W	53.7	52.2
YDL100C	120.6	244.6
YDL101C	11.5	11.5
YDL102W	13.9	17.1
YDL103C	70	69.7
YDL104C	2.8	2.7
YDL105W	4.7	4.7
YDL106C	10.7	10.6
YDL107W	4.2	2.9
YDL108W	18.4	17.1
YDL109C	0.3	0.4
YDL110C	62	33.8
YDL111C	42.8	39.7
YDL112W	15.6	23
YDL113C	9.8	8.8
YDL114W	0	0
YDL115C	18.1	10.2
YDL116W	18.2	18.8
YDL117W	6.8	7.6
YDL119C	8.9	7.6
YDL120W	51.6	42.2
YDL121C	50.1	67.5
YDL122W	13.3	19
YDL123W	35.5	25.2
YDL124W	76.6	80.4
YDL125C	343.5	325.4
YDL126C	386.2	456.3
YDL127W	11	11
YDL128W	60	62.4
YDL129W	4.8	6.5
YDL130W	2588.8	3397.5
YDL130W-A	71.2	52.5
YDL131W	320.1	186.4
YDL132W	27.3	27.3
YDL133C-A	11392.2	7832.3
YDL133W	6.7	7.7
YDL134C	64.3	65.6
YDL135C	97.5	89.7
YDL136W	3777.3	3130.5
YDL137W	261.8	285.3
YDL138W	0.7	1.3
YDL139C	8.8	5.7
YDL140C	34	61
YDL141W	13.2	16.9
YDL142C	10.8	7.8
YDL143W	138.9	153.8
YDL144C	20.2	23.4
YDL145C	35.9	74.9
YDL146W	2	4.5
YDL147W	190.7	129.9
YDL148C	33.8	41.6
YDL149W	2.6	2.3
YDL150W	38.1	32.9
YDL153C	43.8	59.9
YDL154W	0.6	0.1
YDL155W	17	16.2
YDL156W	5.3	6.2
YDL157C	113.3	84.6
YDL159W	9.8	8.5
YDL159W-A	3.1	3.5
YDL160C	148	151
YDL160C-A	31.6	33
YDL161W	53.3	38.2
YDL164C	12.3	17.9
YDL165W	60.6	47.2
YDL166C	57.3	59.7
YDL167C	10.2	17.3
YDL168W	71.6	99.8
YDL169C	1.4	1.3
YDL170W	6.9	5
YDL171C	39	53.8
YDL173W	71.7	55.1
YDL174C	12.1	19.3
YDL175C	23.5	14.1
YDL176W	2.2	2.3
YDL177C	6.8	6.6
YDL178W	25.1	24.7
YDL179W	15.3	14.4
YDL180W	4.6	6.6
YDL181W	47.8	42
YDL182W	360.6	202.7
YDL183C	2.2	2.3
YDL184C	11789.6	8634.4
YDL185W	300	594.5
YDL186W	0.5	0
YDL188C	55.6	58
YDL189W	18.3	15.9
YDL190C	19.1	22
YDL191W	3949.3	3269.7
YDL192W	732	703
YDL193W	33.6	39.9
YDL194W	0.7	1
YDL195W	78.3	123
YDL197C	2	2.6
YDL198C	216.8	44.3
YDL199C	2.2	2.1
YDL200C	10.4	10.2
YDL201W	58.6	71.6
YDL202W	22	25
YDL203C	10.6	11.9
YDL204W	0.7	0.6
YDL205C	26.7	30.2
YDL206W	0.8	1.1
YDL207W	12.6	12.7
YDL208W	324.9	296.1
YDL209C	6.8	7.8
YDL210W	0.4	0.5
YDL211C	2.3	2.8
YDL212W	123.2	148.4
YDL213C	109	91.4
YDL214C	0.1	0
YDL215C	13.6	7.8
YDL216C	3.4	3
YDL217C	32.6	34.1
YDL218W	0.1	0
YDL219W	50	49.5
YDL220C	1.5	2.3
YDL222C	0.4	1.6
YDL223C	1.5	2.1
YDL224C	19.4	18.5
YDL225W	37	33
YDL226C	151.1	132.7
YDL227C	47.1	0.3
YDL229W	2058.7	3156.3
YDL230W	12.5	14.2
YDL231C	0.5	0.6
YDL232W	132.5	68.7
YDL233W	11.5	10.5
YDL234C	9.5	8
YDL235C	44.4	51.7
YDL236W	103.9	94.2
YDL237W	21.2	38.2
YDL238C	1.6	2.3
YDL239C	0	0
YDL240W	4.2	4.3
YDL241W	31	24.6
YDL243C	0.2	0.4
YDL244W	1.6	0.8
YDL245C	0.1	0
YDL246C	1.7	1
YDL247W	0.2	0.1
YDL248W	16.9	19.8
YDR001C	19.2	24.4
YDR002W	737.3	688
YDR003W	25.7	18.8
YDR003W-A	33.9	13.5
YDR004W	5.2	2.9
YDR005C	12.4	11.7
YDR006C	11	12.3
YDR007W	29.8	25.9
YDR009W	0.6	0.6
YDR011W	16.4	26
YDR012W	3343.8	3686.3
YDR013W	53.6	45.9
YDR014W	3.2	2.4
YDR014W-A	1.1	0.7
YDR016C	23.1	29.1
YDR017C	11.2	13.5
YDR018C	0.2	0.2
YDR019C	77	79.4
YDR020C	9.4	10.4
YDR021W	10.1	9.6
YDR022C	137.9	21.6
YDR023W	499.1	506.5
YDR025W	3393.8	2885.7
YDR026C	6.1	6.2
YDR027C	6.2	6.2
YDR028C	28.4	27.2
YDR030C	0.8	1
YDR031W	25.7	17.8
YDR032C	65.8	243.2
YDR033W	678.7	608.1
YDR034C	11.6	7.7
YDR034C-A	6.4	4
YDR034W-B	8.3	4.5
YDR035W	217	126.1
YDR036C	18.5	23.1
YDR037W	627.7	490.3
YDR038C	18	35.6
YDR039C	18.1	36.9
YDR040C	14.6	32.1
YDR041W	24.8	22.6
YDR042C	0.8	0.9
YDR043C	16.2	9.6
YDR044W	58.9	73.6
YDR045C	38.2	72.6
YDR046C	42	51.7
YDR047W	50.4	44.4
YDR049W	13	12
YDR050C	3570	4910.9
YDR051C	23.6	26.4
YDR052C	7.7	8.5
YDR054C	29.8	61.9
YDR055W	108.8	69.3
YDR056C	75.3	75.8
YDR057W	9.7	10
YDR058C	1.6	3.1
YDR059C	26.1	16.8
YDR060W	40.9	48.6
YDR061W	10.5	10.7
YDR062W	52.1	70.1
YDR063W	57.1	56.8
YDR064W	3828.5	4201.6
YDR065W	7.5	5.3
YDR066C	5.9	4.4
YDR067C	7.8	7.2
YDR068W	20.8	25.4
YDR069C	4.2	4.2
YDR070C	3	2.8
YDR071C	252.8	176.1
YDR072C	16.9	17.3
YDR073W	12	16.2
YDR074W	33.5	26.5
YDR075W	12.3	12.1
YDR076W	1.7	2.3
YDR077W	3684.8	1803.7
YDR078C	3.7	2.6
YDR079C-A	33.2	28.3
YDR079W	31.5	25
YDR080W	7.8	7.2
YDR081C	6.1	6.9
YDR082W	1.4	1.7
YDR083W	31	40.4
YDR084C	34.2	55.6
YDR085C	2.4	1.1
YDR086C	710.1	420.7
YDR087C	52.7	74.2
YDR088C	14.8	11.8
YDR089W	10.9	12.8
YDR090C	12.4	14.6
YDR091C	106.8	102.7
YDR092W	173.2	113.1
YDR093W	7.8	11.8
YDR096W	7.6	6.7
YDR097C	16.8	16.7
YDR098C	164.5	123.2
YDR099W	395.4	412.6
YDR100W	117.1	51.1
YDR101C	48	68
